Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Descricao;Possui_suite
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;1190.0;14300.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;1030.0;12360.0;Apartamento em Higienópolis com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;1522.0;18289.0;Apartamento em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;1121.0;13471.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;1640.0;20580.0;Apartamento em Centro com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;29;1200.0;460.0;0.0;1660.0;19920.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;1285.0;15444.0;Apartamento em Vila Isabel com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;1520.0;18240.0;Apartamento em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;0.0;1562.0;18744.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0;1453.0;17461.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;1293.0;15602.0;Apartamento em Botafogo com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0;1325.0;15936.0;Apartamento em Engenho Novo com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0;1985.0;23970.0;Apartamento em Maracanã com 1 quarto(s)\ e 1 vaga(s) de garagem;Sim
Quitinete;Copacabana;1;0;0;15;1100.0;600.0;0.0;1700.0;20400.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Glória;1;0;1;26;850.0;321.0;29.0;1171.0;14081.0;Quitinete em Glória com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0;1630.0;19596.0;Apartamento em Freguesia (Jacarepaguá) com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Leme;1;0;0;31;1140.0;420.0;24.0;1560.0;18744.0;Apartamento em Leme com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Grajaú;1;0;0;30;800.0;283.0;187.0;1083.0;13183.0;Apartamento em Grajaú com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
